	number_of_night	length_of_night	scorer1_mismatches	mismatchpercent_scorer1	scorer2_mismatches	mismatch_percent_scorer2	scorer3_mismatches	mismatche_percent_scorer_3	scorer4_mismatches	miscmatch_percent_scorer4
0	70	831	57	6.859205776173286	82	9.8676293622142	125	15.042117930204574	427	51.383874849578824
1	73	899	79	8.78754171301446	66	7.341490545050055	136	15.127919911012237	124	13.793103448275861
2	12	838	72	8.591885441527445	121	14.439140811455847	99	11.813842482100238	144	17.18377088305489
3	13	865	79	9.132947976878611	115	13.294797687861271	140	16.184971098265898	116	13.410404624277456
4	15	814	76	9.336609336609335	74	9.090909090909092	111	13.636363636363635	126	15.47911547911548
5	16	737	60	8.14111261872456	63	8.548168249660787	71	9.633649932157395	151	20.488466757123476
6	18	847	139	16.41086186540732	136	16.05667060212515	103	12.160566706021251	139	16.41086186540732
7	20	748	61	8.155080213903744	79	10.56149732620321	91	12.165775401069519	118	15.775401069518717
8	21	848	79	9.316037735849056	93	10.966981132075473	149	17.57075471698113	88	10.377358490566039
9	22	797	43	5.395232120451694	31	3.889585947302384	128	16.06022584692597	101	12.672521957340024
10	24	753	78	10.358565737051793	84	11.155378486055776	143	18.99070385126162	143	18.99070385126162
11	25	804	42	5.223880597014925	61	7.587064676616915	71	8.83084577114428	94	11.691542288557214
12	26	829	122	14.71652593486128	109	13.148371531966225	110	13.268998793727382	146	17.61158021712907
13	28	780	40	5.128205128205128	71	9.102564102564102	52	6.666666666666667	108	13.846153846153847
14	34	650	147	22.615384615384613	115	17.692307692307693	67	10.307692307692308	87	13.384615384615383
15	35	705	131	18.581560283687942	105	14.893617021276595	72	10.212765957446807	101	14.326241134751774
16	36	767	77	10.039113428943937	149	19.426336375488916	73	9.517601043024772	114	14.863102998696217
17	37	588	72	12.244897959183673	74	12.585034013605442	83	14.1156462585034	82	13.945578231292515
18	39	778	68	8.740359897172237	134	17.223650385604113	72	9.254498714652955	132	16.966580976863753
19	40	640	97	15.156249999999998	105	16.40625	122	19.0625	143	22.34375
20	41	660	84	12.727272727272727	121	18.333333333333332	43	6.515151515151516	109	16.515151515151516
21	42	751	66	8.788282290279627	153	20.372836218375497	86	11.451398135818907	122	16.245006657789617
22	45	730	73	10.0	129	17.671232876712327	43	5.89041095890411	98	13.424657534246576
23	46	710	64	9.014084507042254	72	10.140845070422536	76	10.704225352112676	146	20.56338028169014
24	47	705	60	8.51063829787234	87	12.340425531914894	77	10.921985815602838	112	15.886524822695037
25	48	697	90	12.91248206599713	108	15.494978479196556	40	5.738880918220947	121	17.360114777618367
26	49	742	67	9.029649595687331	122	16.442048517520217	110	14.824797843665769	140	18.867924528301888
27	50	795	116	14.59119496855346	163	20.50314465408805	68	8.553459119496855	85	10.69182389937107
28	51	769	82	10.663198959687907	139	18.075422626788036	70	9.102730819245773	90	11.703511053315994
29	52	741	54	7.28744939271255	87	11.740890688259109	84	11.336032388663968	99	13.360323886639677
30	53	696	106	15.229885057471265	92	13.218390804597702	69	9.913793103448276	149	21.408045977011493
31	54	780	84	10.76923076923077	87	11.153846153846155	133	17.05128205128205	174	22.30769230769231
