	scorer1	consensus1	scorer2	consensus2	scorer3	consensus3	scorer4	consensus4
0	349	423	435	422	600	423	844	421
1	203	429	381	424	454	429	349	429
2	6329	6154	6811	6130	5162	6151	5122	6154
3	1327	1277	718	1277	1628	1277	2231	1277
5	2181	2106	2014	2106	2542	2106	1841	2106
