	scorer1	consensus1	scorer2	consensus2	scorer3	consensus3	scorer4	consensus4
0	957	1269	1017	1268	1912	1266	2712	1260
1	703	1381	1234	1381	1497	1381	1148	1381
2	21377	19923	23331	19910	17170	19947	16813	19907
3	5254	5460	2921	5460	6323	5474	8311	5460
5	7599	7857	7373	7857	9024	7858	6882	7858
