	number_of_night	length_of_night	scorer1_mismatches	mismatchpercent_scorer1	scorer2_mismatches	mismatch_percent_scorer2	scorer3_mismatches	mismatche_percent_scorer_3	scorer4_mismatches	miscmatch_percent_scorer4
0	12	838	72	8.591885441527445	121	14.439140811455847	99	11.813842482100238	144	17.18377088305489
1	13	865	79	9.132947976878611	115	13.294797687861271	140	16.184971098265898	116	13.410404624277456
2	15	814	76	9.336609336609335	74	9.090909090909092	111	13.636363636363635	126	15.47911547911548
3	16	737	60	8.14111261872456	63	8.548168249660787	71	9.633649932157395	151	20.488466757123476
4	18	847	139	16.41086186540732	136	16.05667060212515	103	12.160566706021251	139	16.41086186540732
5	20	748	61	8.155080213903744	79	10.56149732620321	91	12.165775401069519	118	15.775401069518717
6	21	848	79	9.316037735849056	93	10.966981132075473	149	17.57075471698113	88	10.377358490566039
7	22	797	43	5.395232120451694	31	3.889585947302384	128	16.06022584692597	101	12.672521957340024
8	24	753	78	10.358565737051793	84	11.155378486055776	143	18.99070385126162	143	18.99070385126162
9	25	804	42	5.223880597014925	61	7.587064676616915	71	8.83084577114428	94	11.691542288557214
10	26	829	122	14.71652593486128	109	13.148371531966225	110	13.268998793727382	146	17.61158021712907
11	28	780	40	5.128205128205128	71	9.102564102564102	52	6.666666666666667	108	13.846153846153847
12	34	650	147	22.615384615384613	115	17.692307692307693	67	10.307692307692308	87	13.384615384615383
13	35	705	131	18.581560283687942	105	14.893617021276595	72	10.212765957446807	101	14.326241134751774
14	36	767	77	10.039113428943937	149	19.426336375488916	73	9.517601043024772	114	14.863102998696217
15	37	588	72	12.244897959183673	74	12.585034013605442	83	14.1156462585034	82	13.945578231292515
16	39	778	68	8.740359897172237	134	17.223650385604113	72	9.254498714652955	132	16.966580976863753
17	40	640	97	15.156249999999998	105	16.40625	122	19.0625	143	22.34375
18	41	660	84	12.727272727272727	121	18.333333333333332	43	6.515151515151516	109	16.515151515151516
19	42	751	66	8.788282290279627	153	20.372836218375497	86	11.451398135818907	122	16.245006657789617
20	45	730	73	10.0	129	17.671232876712327	43	5.89041095890411	98	13.424657534246576
21	46	710	64	9.014084507042254	72	10.140845070422536	76	10.704225352112676	146	20.56338028169014
22	47	705	60	8.51063829787234	87	12.340425531914894	77	10.921985815602838	112	15.886524822695037
23	48	697	90	12.91248206599713	108	15.494978479196556	40	5.738880918220947	121	17.360114777618367
24	49	742	67	9.029649595687331	122	16.442048517520217	110	14.824797843665769	140	18.867924528301888
25	50	795	116	14.59119496855346	163	20.50314465408805	68	8.553459119496855	85	10.69182389937107
26	51	769	82	10.663198959687907	139	18.075422626788036	70	9.102730819245773	90	11.703511053315994
27	52	741	54	7.28744939271255	87	11.740890688259109	84	11.336032388663968	99	13.360323886639677
28	53	696	106	15.229885057471265	92	13.218390804597702	69	9.913793103448276	149	21.408045977011493
29	54	780	84	10.76923076923077	87	11.153846153846155	133	17.05128205128205	174	22.30769230769231
30	55	755	84	11.125827814569536	76	10.066225165562914	123	16.29139072847682	173	22.91390728476821
31	56	830	90	10.843373493975903	85	10.240963855421686	107	12.891566265060241	190	22.89156626506024
32	58	864	77	8.912037037037036	92	10.648148148148149	138	15.972222222222221	179	20.71759259259259
33	60	724	66	9.116022099447514	65	8.977900552486188	60	8.287292817679557	149	20.58011049723757
34	61	793	156	19.672131147540984	120	15.132408575031524	117	14.754098360655737	189	23.833543505674655
35	64	820	131	15.975609756097562	101	12.317073170731707	81	9.878048780487806	134	16.34146341463415
36	66	871	108	12.399540757749714	116	13.318025258323765	134	15.384615384615385	156	17.91044776119403
37	67	934	54	5.781584582441114	123	13.16916488222698	94	10.06423982869379	127	13.597430406852249
38	68	802	128	15.96009975062344	104	12.967581047381547	135	16.83291770573566	177	22.069825436408976
39	71	806	52	6.451612903225806	79	9.801488833746898	108	13.399503722084367	144	17.866004962779154
40	72	892	132	14.798206278026907	127	14.237668161434977	90	10.089686098654708	162	18.161434977578477
41	77	925	112	12.108108108108109	113	12.216216216216216	82	8.864864864864865	134	14.486486486486486
42	78	727	94	12.929848693259974	88	12.104539202200826	108	14.855570839064649	129	17.744154057771663
43	79	826	100	12.106537530266344	116	14.043583535108958	190	23.002421307506054	102	12.34866828087167
44	80	852	90	10.56338028169014	101	11.854460093896714	103	12.089201877934272	146	17.136150234741784
45	82	872	88	10.091743119266056	105	12.041284403669724	112	12.844036697247708	101	11.582568807339449
